rhyme_class(sara|mat)	word	raw_sara	raw_mat	norm_class	old_sara	old_mat	old_differs	tags	source
ออ|กก	หนอก	ออ	กก	-	ออ	กก	N	-	classical
ออ|กก	หมอก	ออ	กก	-	ออ	กก	N	-	classical
ออ|กก	หยอก	ออ	กก	-	ออ	กก	N	-	classical
ออ|กก	หรอก	ออ	กก	-	ออ	กก	N	-	dict
ออ|กก	หลอก	ออ	กก	-	ออ	กก	N	-	classical
ออ|กก	หอก	ออ	กก	-	ออ	กก	N	-	classical
ออ|กก	ออก	ออ	กก	-	ออ	กก	N	-	classical
ออ|กก	อ๊อก	ออ	กก	-	ออ	กก	N	-	dict
ออ|กก	อ๊อกซ์	ออ	กก	-	ออ	กา	Y	karun	dict
ออ|กก	ฮอก	ออ	กก	-	ออ	กก	N	-	dict
ออ|กง	กลอง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กง	กว่อง	ออ	กง	-	ออ	กง	N	-	dict
ออ|กง	กอง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กง	ก่อง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กง	ขนอง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กง	ข้อง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กง	คลอง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กง	จ้อง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กง	ฉ่อง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กง	ช่อง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กง	ช้อง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กง	ซอง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กง	ซองส์	ออ	กง	-	ออ	กา	Y	karun	dict
ออ|กง	ซ้อง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กง	ฌอง	ออ	กง	-	ออ	กง	N	-	dict
ออ|กง	ด้อง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กง	ตอง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กง	ต้อง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กง	ต๋อง	ออ	กง	-	ออ	กง	N	-	dict
ออ|กง	ถ่อง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กง	ทอง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กง	ท้อง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กง	นอง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กง	น่อง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กง	บรอง	ออ	กง	-	ออ	กง	N	-	dict
ออ|กง	บอง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กง	บ่อง	ออ	กง	-	ออ	กง	N	-	dict
ออ|กง	ปรอง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กง	ปล้อง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กง	ป่อง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กง	ป้อง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กง	ผยอง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กง	ผอง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กง	ผ่อง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กง	พร่อง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กง	พล่อง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กง	พ้อง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กง	ฟอง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กง	ฟ่อง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กง	มองด์	ออ	กง	-	ออ	กา	Y	karun	dict
ออ|กง	มองต์	ออ	กง	-	ออ	กา	Y	karun	dict
ออ|กง	รองซ์	ออ	กง	-	ออ	กา	Y	karun	dict
ออ|กง	รองท์	ออ	กง	-	ออ	กา	Y	karun	dict
ออ|กง	ร้อง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กง	ลอง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กง	ลองส์	ออ	กง	-	ออ	กา	Y	karun	dict
ออ|กง	ล่อง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กง	ว่อง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กง	สตรอง	ออ	กง	-	ออ	กง	N	-	dict
ออ|กง	สนอง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กง	สมอง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กง	สยอง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กง	สลอง	ออ	กง	-	ออ	กง	N	-	dict
ออ|กง	หน่อง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กง	หมอง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กง	หยอง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กง	หอง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กง	ห้อง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กง	อล่อง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กง	ออง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กง	อ่อง	ออ	กง	-	ออ	กง	N	-	classical
ออ|กด	กรอด	ออ	กด	-	ออ	กด	N	-	classical
ออ|กด	กอซ	ออ	กด	-	ออ	กด	N	-	dict
ออ|กด	กอด	ออ	กด	-	ออ	กด	N	-	classical
ออ|กด	กอด์ด	ออ	กด	-	ออ	กด	N	karun	dict
ออ|กด	ก๊อซ	ออ	กด	-	ออ	กด	N	-	dict
ออ|กด	ขอด	ออ	กด	-	ออ	กด	N	-	classical
ออ|กด	ครอสส์	ออ	กด	-	ออ	กา	Y	karun	dict
ออ|กด	คล้อด	ออ	กด	-	ออ	กด	N	-	dict
ออ|กด	ควอต	ออ	กด	-	ออ	กด	N	-	dict
ออ|กด	ควอทซ์	ออ	กด	-	ออ	กา	Y	karun	dict
ออ|กด	คอต	ออ	กด	-	ออ	กด	N	-	dict
ออ|กด	คอตต์	ออ	กด	-	ออ	กา	Y	karun	dict
ออ|กด	คอยส์ส	ออ	กด	-	ออ	กด	N	karun	dict
ออ|กด	จอด	ออ	กด	-	ออ	กด	N	-	classical
ออ|กด	จอร์จ	ออ	กด	-	ออ	กด	N	karun	dict
ออ|กด	จอว์ส	ออ	กด	-	ออ	กด	N	karun	dict
ออ|กด	ชอว์ด	ออ	กด	-	ออ	กด	N	karun	dict
ออ|กด	ซอด	ออ	กด	-	ออ	กด	N	-	dict
ออ|กด	ซอต	ออ	กด	-	ออ	กด	N	-	dict
ออ|กด	ซอร์ส	ออ	กด	-	ออ	กด	N	karun	dict
ออ|กด	ซอส	ออ	กด	-	ออ	กด	N	-	dict
ออ|กด	ซ้อส	ออ	กด	-	ออ	กด	N	-	dict
ออ|กด	ดอด	ออ	กด	-	ออ	กด	N	-	classical
ออ|กด	ดอต	ออ	กด	-	ออ	กด	N	-	dict
ออ|กด	ดอตต์	ออ	กด	-	ออ	กา	Y	karun	dict
ออ|กด	ดอท	ออ	กด	-	ออ	กด	N	-	dict
ออ|กด	ทอด	ออ	กด	-	ออ	กด	N	-	classical
ออ|กด	นอต	ออ	กด	-	ออ	กด	N	-	dict
ออ|กด	นอส	ออ	กด	-	ออ	กด	N	-	dict
ออ|กด	บอด	ออ	กด	-	ออ	กด	N	-	classical
ออ|กด	ปรอด	ออ	กด	-	ออ	กด	N	-	classical
ออ|กด	ปรอท	ออ	กด	-	ออ	กด	N	-	classical
ออ|กด	ปลอด	ออ	กด	-	ออ	กด	N	-	classical
ออ|กด	ปอด	ออ	กด	-	ออ	กด	N	-	classical
ออ|กด	พลอด	ออ	กด	-	ออ	กด	N	-	classical
ออ|กด	พอท	ออ	กด	-	ออ	กด	N	-	dict
ออ|กด	พอยน์ท	ออ	กด	-	ออ	กด	N	karun	dict
ออ|กด	พอร์ซ	ออ	กด	-	ออ	กด	N	karun	dict
ออ|กด	พอร์ต	ออ	กด	-	ออ	กด	N	karun	dict
ออ|กด	พอร์ท	ออ	กด	-	ออ	กด	N	karun	dict
ออ|กด	พอว์ส	ออ	กด	-	ออ	กด	N	karun	dict
ออ|กด	ฟอด	ออ	กด	-	ออ	กด	N	-	classical
ออ|กด	มอด	ออ	กด	-	ออ	กด	N	-	classical
ออ|กด	มอสส์	ออ	กด	-	ออ	กา	Y	karun	dict
ออ|กด	ยอด	ออ	กด	-	ออ	กด	N	-	classical
ออ|กด	ยอร์ช	ออ	กด	-	ออ	กด	N	karun	dict
ออ|กด	ยอร์ด	ออ	กด	-	ออ	กด	N	karun	dict
ออ|กด	ยอร์ต	ออ	กด	-	ออ	กด	N	karun	dict
ออ|กด	รอดท์	ออ	กด	-	ออ	กา	Y	karun	dict
ออ|กด	รอท	ออ	กด	-	ออ	กด	N	-	dict
ออ|กด	รอส	ออ	กด	-	ออ	กด	N	-	dict
ออ|กด	รอสส์	ออ	กด	-	ออ	กา	Y	karun	dict
ออ|กด	ลอด	ออ	กด	-	ออ	กด	N	-	classical
ออ|กด	สควอช	ออ	กด	-	ออ	กด	N	-	dict
ออ|กด	สลอด	ออ	กด	-	ออ	กด	N	-	dict
ออ|กด	สอร์ต	ออ	กด	-	ออ	กด	N	karun	dict
ออ|กด	สอร์ท	ออ	กด	-	ออ	กด	N	karun	dict
ออ|กด	หยอด	ออ	กด	-	ออ	กด	N	-	classical
ออ|กด	หรอด	ออ	กด	-	ออ	กด	N	-	dict
ออ|กด	ออต	ออ	กด	-	ออ	กด	N	-	dict
ออ|กด	ออส	ออ	กด	-	ออ	กด	N	-	dict
ออ|กน	กวอน	ออ	กน	-	ออ	กน	N	-	dict
ออ|กน	ขร	ออ	กน	-	ออ	กน	N	-	classical
ออ|กน	ครอน	ออ	กน	-	ออ	กน	N	-	dict
ออ|กน	ควอล	ออ	กน	-	ออ	กน	N	-	dict
ออ|กน	คอนด์	ออ	กน	-	ออ	กา	Y	karun	dict
ออ|กน	คอล	ออ	กน	-	ออ	กน	N	-	dict
ออ|กน	ค่อน	ออ	กน	-	ออ	กน	N	-	classical
ออ|กน	งอน	ออ	กน	-	ออ	กน	N	-	classical
ออ|กน	จอห์น	ออ	กน	-	ออ	กน	N	karun	dict
ออ|กน	ชอน	ออ	กน	-	ออ	กน	N	-	classical
ออ|กน	ช่อน	ออ	กน	-	ออ	กน	N	-	classical
ออ|กน	ซอน	ออ	กน	-	ออ	กน	N	-	classical
ออ|กน	ซอนส์	ออ	กน	-	ออ	กา	Y	karun	dict
ออ|กน	ซ่อน	ออ	กน	-	ออ	กน	N	-	classical
ออ|กน	ดอนท์	ออ	กน	-	ออ	กา	Y	karun	dict
ออ|กน	ดอล	ออ	กน	-	ออ	กน	N	-	classical
ออ|กน	ตรอน	ออ	กน	-	ออ	กน	N	-	dict
ออ|กน	ตอน	ออ	กน	-	ออ	กน	N	-	classical
ออ|กน	ตอลส์	ออ	กน	-	ออ	กา	Y	karun	dict
ออ|กน	ต้อน	ออ	กน	-	ออ	กน	N	-	classical
ออ|กน	ท้อน	ออ	กน	-	ออ	กน	N	-	classical
ออ|กน	ธอน	ออ	กน	-	ออ	กน	N	-	dict
ออ|กน	นคร	ออ	กน	-	ออ	กน	N	-	classical
ออ|กน	นร	ออ	กน	-	ออ	กน	N	-	classical
ออ|กน	นอล	ออ	กน	-	ออ	กน	N	-	dict
ออ|กน	บอลต์	ออ	กน	-	ออ	กา	Y	karun	dict
ออ|กน	บอลท์	ออ	กน	-	ออ	กา	Y	karun	dict
ออ|กน	ผ่อน	ออ	กน	-	ออ	กน	N	-	classical
ออ|กน	พร	ออ	กน	-	ออ	กน	N	-	classical
ออ|กน	พอน	ออ	กน	-	ออ	กน	N	-	classical
ออ|กน	พอล	ออ	กน	-	ออ	กน	N	-	dict
ออ|กน	ฟ่อน	ออ	กน	-	ออ	กน	N	-	classical
ออ|กน	ฟ้อน	ออ	กน	-	ออ	กน	N	-	classical
ออ|กน	ภมร	ออ	กน	-	ออ	กน	N	-	classical
ออ|กน	ภรณ์	ออ	กน	-	ออ	กบ	Y	karun	classical
ออ|กน	มอญ	ออ	กน	-	ออ	กน	N	-	classical
ออ|กน	มอนด์	ออ	กน	-	ออ	กา	Y	karun	dict
ออ|กน	มอนต์	ออ	กน	-	ออ	กา	Y	karun	dict
ออ|กน	มอลล์	ออ	กน	-	ออ	กา	Y	karun	dict
ออ|กน	ยอน	ออ	กน	-	ออ	กน	N	-	classical
ออ|กน	ย้อน	ออ	กน	-	ออ	กน	N	-	classical
ออ|กน	รอนท์	ออ	กน	-	ออ	กา	Y	karun	dict
ออ|กน	รอล	ออ	กน	-	ออ	กน	N	-	dict
ออ|กน	ร้อน	ออ	กน	-	ออ	กน	N	-	classical
ออ|กน	วร	ออ	กน	-	อัว	กน	Y	-	classical
ออ|กน	วอล	ออ	กน	-	ออ	กน	N	-	classical
ออ|กน	ว่อน	ออ	กน	-	ออ	กน	N	-	classical
ออ|กน	ศร	ออ	กน	-	ออ	กน	N	-	classical
ออ|กน	สกร	ออ	กน	-	ออ	กน	N	-	dict
ออ|กน	สปอน	ออ	กน	-	ออ	กน	N	-	dict
ออ|กน	สมร	ออ	กน	-	ออ	กน	N	-	classical
ออ|กน	หนอน	ออ	กน	-	ออ	กน	N	-	classical
ออ|กน	หย่อน	ออ	กน	-	ออ	กน	N	-	classical
ออ|กน	หรณ์	ออ	กน	-	ออ	Cant find Marttra in this word	Y	karun	classical
ออ|กน	หล่อน	ออ	กน	-	ออ	กน	N	-	classical
ออ|กน	อมร	ออ	กน	-	ออ	กน	N	-	dict
ออ|กน	อร	ออ	กน	-	ออ	กน	N	-	classical
ออ|กน	ออน	ออ	กน	-	ออ	กน	N	-	classical
ออ|กน	ออล	ออ	กน	-	ออ	กน	N	-	dict
ออ|กน	อ่อน	ออ	กน	-	ออ	กน	N	-	classical
ออ|กน	ฮอน	ออ	กน	-	ออ	กน	N	-	dict
ออ|กน	ฮอลล์	ออ	กน	-	ออ	กา	Y	karun	dict
ออ|กบ	กรอบ	ออ	กบ	-	ออ	กบ	N	-	classical
ออ|กบ	กอบ	ออ	กบ	-	ออ	กบ	N	-	classical
ออ|กบ	กอล์ฟ	ออ	กบ	-	ออ	กบ	N	karun	dict
ออ|กบ	ก๊อบ	ออ	กบ	-	ออ	กบ	N	-	dict
ออ|กบ	ก๊อป	ออ	กบ	-	ออ	กบ	N	-	dict
ออ|กบ	ขอบ	ออ	กบ	-	ออ	กบ	N	-	classical
ออ|กบ	ครอบ	ออ	กบ	-	ออ	กบ	N	-	classical
ออ|กบ	ครอฟต์	ออ	กบ	-	ออ	กา	Y	karun	dict
ออ|กบ	คอบ	ออ	กบ	-	ออ	กบ	N	-	classical
ออ|กบ	คอป	ออ	กบ	-	ออ	กบ	N	-	dict
ออ|กบ	คอปส์	ออ	กบ	-	ออ	กา	Y	karun	dict
ออ|กบ	คอฟ	ออ	กบ	-	ออ	กบ	N	-	dict
ออ|กบ	คอฟต์	ออ	กบ	-	ออ	กา	Y	karun	dict
ออ|กบ	ค๊อฟ	ออ	กบ	-	ออ	กบ	N	-	dict
ออ|กบ	งอบ	ออ	กบ	-	ออ	กบ	N	-	dict
ออ|กบ	จอบ	ออ	กบ	-	ออ	กบ	N	-	classical
ออ|กบ	จ๊อบ	ออ	กบ	-	ออ	กบ	N	-	dict
ออ|กบ	ชอบ	ออ	กบ	-	ออ	กบ	N	-	classical
ออ|กบ	ชอป	ออ	กบ	-	ออ	กบ	N	-	dict
ออ|กบ	ชอฟ	ออ	กบ	-	ออ	กบ	N	-	dict
ออ|กบ	ช้อบ	ออ	กบ	-	ออ	กบ	N	-	dict
ออ|กบ	ช้อป	ออ	กบ	-	ออ	กบ	N	-	dict
ออ|กบ	ช๊อป	ออ	กบ	-	ออ	กบ	N	-	dict
ออ|กบ	ซอพ	ออ	กบ	-	ออ	กบ	N	-	dict
ออ|กบ	ซอฟ	ออ	กบ	-	ออ	กบ	N	-	dict
ออ|กบ	ซอฟต์	ออ	กบ	-	ออ	กา	Y	karun	dict
ออ|กบ	ซอฟท์	ออ	กบ	-	ออ	กา	Y	karun	dict
ออ|กบ	ซอฟฟ์	ออ	กบ	-	ออ	กา	Y	karun	dict
ออ|กบ	ดอร์ฟ	ออ	กบ	-	ออ	กบ	N	karun	dict
ออ|กบ	ตอบ	ออ	กบ	-	ออ	กบ	N	-	classical
ออ|กบ	ตอฟ	ออ	กบ	-	ออ	กบ	N	-	dict
ออ|กบ	ต๊อบ	ออ	กบ	-	ออ	กบ	N	-	dict
ออ|กบ	ถอบ	ออ	กบ	-	ออ	กบ	N	-	dict
ออ|กบ	ทอฟ	ออ	กบ	-	ออ	กบ	N	-	dict
ออ|กบ	นอบ	ออ	กบ	-	ออ	กบ	N	-	classical
ออ|กบ	บอบ	ออ	กบ	-	ออ	กบ	N	-	classical
ออ|กบ	บ๊อบ	ออ	กบ	-	ออ	กบ	N	-	dict
ออ|กบ	ปลอบ	ออ	กบ	-	ออ	กบ	N	-	classical
ออ|กบ	ปอบ	ออ	กบ	-	ออ	กบ	N	-	classical
ออ|กบ	ผอบ	ออ	กบ	-	ออ	กบ	N	-	classical
ออ|กบ	พร๊อพ	ออ	กบ	-	ออ	กบ	N	-	dict
ออ|กบ	มอบ	ออ	กบ	-	ออ	กบ	N	-	classical
ออ|กบ	มอฟ	ออ	กบ	-	ออ	กบ	N	-	dict
ออ|กบ	ยอบ	ออ	กบ	-	ออ	กบ	N	-	classical
ออ|กบ	รอบ	ออ	กบ	-	ออ	กบ	N	-	classical
ออ|กบ	รอฟ	ออ	กบ	-	ออ	กบ	N	-	dict
ออ|กบ	รอฟฟ์	ออ	กบ	-	ออ	กา	Y	karun	dict
ออ|กบ	ลอบ	ออ	กบ	-	ออ	กบ	N	-	classical
ออ|กบ	สต๊อป	ออ	กบ	-	ออ	กบ	N	-	dict
ออ|กบ	สอบ	ออ	กบ	-	ออ	กบ	N	-	classical
ออ|กบ	หมอบ	ออ	กบ	-	ออ	กบ	N	-	classical
ออ|กบ	หรอบ	ออ	กบ	-	ออ	กบ	N	-	dict
ออ|กบ	หอบ	ออ	กบ	-	ออ	กบ	N	-	classical
ออ|กบ	ออบ	ออ	กบ	-	ออ	กบ	N	-	dict
ออ|กบ	ออพ	ออ	กบ	-	ออ	กบ	N	-	dict
ออ|กบ	ออฟ	ออ	กบ	-	ออ	กบ	N	-	dict
ออ|กบ	ฮอพ	ออ	กบ	-	ออ	กบ	N	-	dict
ออ|กบ	ฮอฟ	ออ	กบ	-	ออ	กบ	N	-	dict
ออ|กม	กรอม	ออ	กม	-	ออ	กม	N	-	classical
ออ|กม	กล่อม	ออ	กม	-	ออ	กม	N	-	classical
ออ|กม	กล้อม	ออ	กม	-	ออ	กม	N	-	classical
ออ|กม	ขอม	ออ	กม	-	ออ	กม	N	-	classical
ออ|กม	คร่อม	ออ	กม	-	ออ	กม	N	-	classical
ออ|กม	คอม	ออ	กม	-	ออ	กม	N	-	classical
ออ|กม	คอมม์	ออ	กม	-	ออ	กา	Y	karun	dict
ออ|กม	คอล์ม	ออ	กม	-	ออ	กม	N	karun	dict
ออ|กม	ค่อม	ออ	กม	-	ออ	กม	N	-	classical
ออ|กม	ค้อม	ออ	กม	-	ออ	กม	N	-	classical
ออ|กม	งอม	ออ	กม	-	ออ	กม	N	-	classical
ออ|กม	จ่อม	ออ	กม	-	ออ	กม	N	-	classical
ออ|กม	จ้อม	ออ	กม	-	ออ	กม	N	-	dict
ออ|กม	ชอม	ออ	กม	-	ออ	กม	N	-	classical
ออ|กม	ซอม	ออ	กม	-	ออ	กม	N	-	dict
ออ|กม	ซ่อม	ออ	กม	-	ออ	กม	N	-	classical
ออ|กม	ซ้อม	ออ	กม	-	ออ	กม	N	-	classical
ออ|กม	ฎอม	ออ	กม	-	ออ	กม	N	-	dict
ออ|กม	ดอม	ออ	กม	-	ออ	กม	N	-	classical
ออ|กม	ด้อม	ออ	กม	-	ออ	กม	N	-	classical
ออ|กม	ตรอม	ออ	กม	-	ออ	กม	N	-	classical
ออ|กม	ตอม	ออ	กม	-	ออ	กม	N	-	classical
ออ|กม	ต่อม	ออ	กม	-	ออ	กม	N	-	dict
ออ|กม	ต้อม	ออ	กม	-	ออ	กม	N	-	dict
ออ|กม	ถนอม	ออ	กม	-	ออ	กม	N	-	classical
ออ|กม	ถ่อม	ออ	กม	-	ออ	กม	N	-	classical
ออ|กม	ทรอม	ออ	กม	-	ออ	กม	N	-	dict
ออ|กม	ทอม	ออ	กม	-	ออ	กม	N	-	dict
ออ|กม	ท่อม	ออ	กม	-	ออ	กม	N	-	classical
ออ|กม	นอม	ออ	กม	-	ออ	กม	N	-	classical
ออ|กม	บอม	ออ	กม	-	ออ	กม	N	-	classical
ออ|กม	บอมบ์	ออ	กม	-	ออ	กา	Y	karun	dict
ออ|กม	ปลอม	ออ	กม	-	ออ	กม	N	-	classical
ออ|กม	ปอม	ออ	กม	-	ออ	กม	N	-	classical
ออ|กม	ป้อม	ออ	กม	-	ออ	กม	N	-	classical
ออ|กม	ผอม	ออ	กม	-	ออ	กม	N	-	classical
ออ|กม	พร้อม	ออ	กม	-	ออ	กม	N	-	classical
ออ|กม	พลอม	ออ	กม	-	ออ	กม	N	-	dict
ออ|กม	พ้อม	ออ	กม	-	ออ	กม	N	-	classical
ออ|กม	ฟรอม	ออ	กม	-	ออ	กม	N	-	dict
ออ|กม	ฟอร์ม	ออ	กม	-	ออ	กม	N	karun	dict
ออ|กม	มอม	ออ	กม	-	ออ	กม	N	-	classical
ออ|กม	มอห์ม	ออ	กม	-	ออ	กม	N	karun	dict
ออ|กม	ยอม	ออ	กม	-	ออ	กม	N	-	classical
ออ|กม	ย่อม	ออ	กม	-	ออ	กม	N	-	classical
ออ|กม	ย้อม	ออ	กม	-	ออ	กม	N	-	classical
ออ|กม	รอม	ออ	กม	-	ออ	กม	N	-	classical
ออ|กม	ลอม	ออ	กม	-	ออ	กม	N	-	classical
ออ|กม	ล่อม	ออ	กม	-	ออ	กม	N	-	dict
ออ|กม	ล้อม	ออ	กม	-	ออ	กม	N	-	classical
ออ|กม	ส้อม	ออ	กม	-	ออ	กม	N	-	classical
ออ|กม	หง่อม	ออ	กม	-	ออ	กม	N	-	classical
ออ|กม	หม่อม	ออ	กม	-	ออ	กม	N	-	classical
ออ|กม	หย่อม	ออ	กม	-	ออ	กม	N	-	classical
ออ|กม	หลอม	ออ	กม	-	ออ	กม	N	-	classical
ออ|กม	หอม	ออ	กม	-	ออ	กม	N	-	classical
ออ|กม	ห้อม	ออ	กม	-	ออ	กม	N	-	classical
ออ|กม	ออม	ออ	กม	-	ออ	กม	N	-	classical
ออ|กม	อ่อม	ออ	กม	-	ออ	กม	N	-	classical
ออ|กม	อ้อม	ออ	กม	-	ออ	กม	N	-	classical
ออ|กม	ฮ่อม	ออ	กม	-	ออ	กม	N	-	dict
ออ|กา	กรอ	ออ	กา	-	ออ	กา	N	-	classical
ออ|กา	กร้อ	ออ	กา	-	Can't find Sara in this word	กา	Y	-	dict
ออ|กา	กลอ	ออ	กา	-	ออ	กา	N	-	dict
ออ|กา	กอ	ออ	กา	-	โอะ	กา	Y	-	classical
ออ|กา	ก่อ	ออ	กา	-	ออ	กา	N	-	classical
ออ|กา	คร้อ	ออ	กา	-	Can't find Sara in this word	กา	Y	-	classical
ออ|กา	คลอ	ออ	กา	-	ออ	กา	N	-	classical
ออ|กา	ควอ	ออ	กา	-	อัว	กา	Y	-	dict
ออ|กา	คอ	ออ	กา	-	โอะ	กา	Y	-	classical
ออ|กา	คอว์	ออ	กา	-	โอะ	กก	Y	karun	dict
ออ|กา	ค้อ	ออ	กา	-	ออ	กา	N	-	dict
ออ|กา	ง้อ	ออ	กา	-	ออ	กา	N	-	classical
ออ|กา	จอ	ออ	กา	-	โอะ	กา	Y	-	classical
ออ|กา	จ่อ	ออ	กา	-	ออ	กา	N	-	classical
ออ|กา	ชอร์	ออ	กา	-	โอะ	กด	Y	karun	dict
